0,585,360,straight
0,585,360,straight
1,455,145,straight
1,455,145,straight
2,540,135,straight
2,540,135,straight
3,370,130,straight
3,370,135,straight
4,370,135,curved
4,370,145,curved
5,370,145,straight
5,375,145,straight
6,375,145,curved
6,370,150,curved
7,370,150,straight
7,365,150,straight
8,365,150,curved
8,365,155,curved
9,365,155,curved
9,365,160,curved
10,365,160,curved
10,360,160,curved
11,360,160,straight
11,360,170,straight
12,360,170,straight
12,355,170,straight
13,355,170,straight
13,355,175,straight
14,355,175,straight
14,350,180,straight
15,350,180,straight
15,345,180,straight
16,345,180,straight
16,345,180,straight
17,345,180,curved
17,340,180,curved
18,340,180,straight
18,330,180,straight
19,330,180,curved
19,325,180,curved
20,325,180,curved
20,315,175,curved
21,315,175,curved
21,315,175,curved
22,315,175,curved
22,305,175,curved
23,305,175,curved
23,300,170,curved
24,300,170,curved
24,300,160,curved
25,300,160,straight
25,295,155,straight
26,295,155,curved
26,295,150,curved
27,295,150,curved
27,295,145,curved
28,295,145,straight
28,295,140,straight
29,295,140,curved
29,290,140,curved
30,290,140,straight
30,285,140,straight
31,285,140,straight
31,280,145,straight
32,280,145,curved
32,285,145,curved
33,285,145,straight
33,285,165,straight
34,285,165,straight
34,285,170,straight
35,285,170,straight
35,285,190,straight
36,285,190,straight
36,285,190,straight
37,285,190,curved
37,285,195,curved
38,285,195,curved
38,285,205,curved
39,285,205,straight
39,285,210,straight
40,285,210,straight
40,285,215,straight
41,285,215,curved
41,285,225,curved
42,285,225,curved
42,285,230,curved
43,285,230,curved
43,285,235,curved
44,285,235,straight
44,285,245,straight
45,285,245,straight
45,285,245,straight
46,285,245,curved
46,285,250,curved
47,285,250,straight
47,285,255,straight
48,285,255,straight
48,285,255,straight
49,285,255,straight
49,270,255,straight
50,270,255,straight
50,270,255,straight
51,270,255,straight
51,260,255,straight
52,260,255,straight
52,260,255,straight
53,260,255,straight
53,240,255,straight
54,240,255,straight
54,240,255,straight
55,240,255,straight
55,240,280,straight
56,240,280,straight
56,240,280,straight
57,240,280,straight
57,240,285,straight
58,240,285,straight
58,240,290,straight
59,240,290,straight
59,240,300,straight
60,240,300,straight
60,240,300,straight
61,240,300,straight
61,240,310,straight
62,240,310,straight
62,240,310,straight
63,240,310,curved
63,240,315,curved
64,240,315,curved
64,240,320,curved
65,240,320,straight
65,235,325,straight
